number,DG_num,RX_num,DG,RX,catalyst,ligand,solvent,addictive,tag,m/(m+o),m/(m+p),yield,notation,DOI,,,
128,42,27,C/C(C1=CC=CC=C1)=N\C2=CC=C(OC)C=C2,CCCCCCBr,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC(C)=C1,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,0,0,,0.73,,10.1021/ol200366n,,,
129,42,29,C/C(C1=CC=CC=C1)=N\C2=CC=C(OC)C=C2,BrCCCCCCCC,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC(C)=C1,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,0,0,,0.58,,10.1021/ol200366n,,,
130,42,30,C/C(C1=CC=CC=C1)=N\C2=CC=C(OC)C=C2,BrCCCCCCCCCC,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC(C)=C1,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,0,0,,0.73,,10.1021/ol200366n,,,
131,42,31,C/C(C1=CC=CC=C1)=N\C2=CC=C(OC)C=C2,BrCCCCCCCCCCCC,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC(C)=C1,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,0,0,,0.77,,10.1021/ol200366n,,,
132,43,27,C/C(C1=CC=C(F)C=C1)=N\C2=CC=C(OC)C=C2,CCCCCCBr,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC(C)=C1,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,0,0,,0.76,,10.1021/ol200366n,,,
133,43,28,C/C(C1=CC=C(F)C=C1)=N\C2=CC=C(OC)C=C2,BrCCCCCCCC,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC(C)=C1,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,0,0,,0.66,,10.1021/ol200366n,,,
134,43,30,C/C(C1=CC=C(F)C=C1)=N\C2=CC=C(OC)C=C2,BrCCCCCCCCCC,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC(C)=C1,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,0,0,,0.63,,10.1021/ol200366n,,,
135,43,31,C/C(C1=CC=C(F)C=C1)=N\C2=CC=C(OC)C=C2,BrCCCCCCCCCCCC,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC(C)=C1,O=C(O)C12C[C@H]3C[C@H](C[C@H](C3)C2)C1,0,0,,0.69,,10.1021/ol200366n,,,
136,1,32,C1(C2=CC=CC=C2)=NC=CC=C1,CC1=CC=C(S(=O)(Cl)=O)C=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,,1,1,,0.27,,10.1021/ja208286b,,,
137,1,32,C1(C2=CC=CC=C2)=NC=CC=C1,CC1=CC=C(S(=O)(Cl)=O)C=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CCOC(C)=O,,1,1,,0.24,,10.1021/ja208286b,,,
138,1,32,C1(C2=CC=CC=C2)=NC=CC=C1,CC1=CC=C(S(=O)(Cl)=O)C=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCC1,,1,1,,0.28,,10.1021/ja208286b,,,
139,1,32,C1(C2=CC=CC=C2)=NC=CC=C1,CC1=CC=C(S(=O)(Cl)=O)C=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,CC1=CC=CC=C1,,1,1,,0.05,,10.1021/ja208286b,,,
140,1,32,C1(C2=CC=CC=C2)=NC=CC=C1,CC1=CC=C(S(=O)(Cl)=O)C=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.62,,10.1021/ja208286b,,,
141,1,33,C1(C2=CC=CC=C2)=NC=CC=C1,O=S(C1=CC=CC=C1)(Cl)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.7,,10.1021/ja208286b,,,
142,1,34,C1(C2=CC=CC=C2)=NC=CC=C1,O=S(C1=CC=C(C(C)(C)C)C=C1)(Cl)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.72,,10.1021/ja208286b,,,
143,1,35,C1(C2=CC=CC=C2)=NC=CC=C1,O=S(C1=CC=CC(C)=C1)(Cl)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.63,,10.1021/ja208286b,,,
144,1,36,C1(C2=CC=CC=C2)=NC=CC=C1,O=S(C1=C(C)C=C(C)C=C1C)(Cl)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.23,,10.1021/ja208286b,,,
145,1,37,C1(C2=CC=CC=C2)=NC=CC=C1,O=S(C1=CC=C(C=CC=C2)C2=C1)(Cl)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.59,,10.1021/ja208286b,,,
146,1,38,C1(C2=CC=CC=C2)=NC=CC=C1,O=S(C1=CC=C(Br)C=C1)(Cl)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.74,,10.1021/ja208286b,,,
147,1,39,C1(C2=CC=CC=C2)=NC=CC=C1,O=S(C1=CC=C(F)C=C1)(Cl)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.54,,10.1021/ja208286b,,,
148,1,40,C1(C2=CC=CC=C2)=NC=CC=C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(Cl)=O,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.5,,10.1021/ja208286b,,,
149,17,32,CC(C=C1)=CC=C1C2=NC=CC=C2,CC1=CC=C(S(=O)(Cl)=O)C=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.56,,10.1021/ja208286b,,,
150,14,32,COC(C=C1)=CC=C1C2=NC=CC=C2,CC1=CC=C(S(=O)(Cl)=O)C=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.43,,10.1021/ja208286b,,,
151,13,32,CC1=CC=CN=C1C2=CC=CC=C2,CC1=CC=C(S(=O)(Cl)=O)C=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.48,,10.1021/ja208286b,,,
152,44,32,C1(C=CC=C2)=C2C(C3=CC=CC=C3)=NC=C1,CC1=CC=C(S(=O)(Cl)=O)C=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.4,,10.1021/ja208286b,,,
153,45,32,CC(C=C1)=CC=C1C2=NC=CC3=C2C=CC=C3,CC1=CC=C(S(=O)(Cl)=O)C=C1,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,N#CC,,1,1,,0.33,,10.1021/ja208286b,,,
154,35,41,C1(C2=CC=CC=C2)=NCCO1,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC1=CC=CC=C1,,1,1,,0.17,,10.1021/acscatal.7b03648 ,,,
155,35,41,C1(C2=CC=CC=C2)=NCCO1,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,ClCCCl,,1,1,,0.1,,10.1021/acscatal.7b03648 ,,,
156,35,41,C1(C2=CC=CC=C2)=NCCO1,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.76,,10.1021/acscatal.7b03648 ,,,
157,35,41,C1(C2=CC=CC=C2)=NCCO1,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.73,,10.1021/acscatal.7b03648 ,,,
158,46,41,CC(C=C1)=CC=C1C2=NCCO2,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.78,,10.1021/acscatal.7b03648 ,,,
159,47,41,FC(C(C=C1)=CC=C1C2=NCCO2)(F)F,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.53,,10.1021/acscatal.7b03648 ,,,
160,48,41,COC(C=C1)=CC=C1C2=NCCO2,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.7,,10.1021/acscatal.7b03648 ,,,
161,49,41,FC(C=C1)=CC=C1C2=NCCO2,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.61,,10.1021/acscatal.7b03648 ,,,
162,50,41,ClC(C=C1)=CC=C1C2=NCCO2,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.71,,10.1021/acscatal.7b03648 ,,,
163,36,41,BrC(C=C1)=CC=C1C2=NCCO2,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.67,,10.1021/acscatal.7b03648 ,,,
164,51,41,FC(C=CC=C1)=C1C2=NCCO2,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.73,,10.1021/acscatal.7b03648 ,,,
165,52,41,CCOC(C=CC=C1)=C1C2=NCCO2,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.5,,10.1021/acscatal.7b03648 ,,,
166,53,42,C1(C2=CC=CC=C2)=NCCO1,BrC(C(OC)=O)C,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.8,,10.1021/acscatal.7b03648 ,,,
167,53,41,CC1OC(C2=CC=CC=C2)=NC1,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.64,,10.1021/acscatal.7b03648 ,,,
168,54,41,C1(C2=CC=CC=C2)=NCC(C3=CC=CC=C3)O1,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.86,,10.1021/acscatal.7b03648 ,,,
169,35,43,C1(C2=CC=CC=C2)=NCCO1,BrC(C(OCC(F)(F)F)=O)C,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.77,,10.1021/acscatal.7b03648 ,,,
170,35,44,C1(C2=CC=CC=C2)=NCCO1,BrC(C(OC)=O)CCCBr,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.63,,10.1021/acscatal.7b03648 ,,,
171,55,41,C1(C2=NCCCO2)=CC=CC=C1,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.59,,10.1021/acscatal.7b03648 ,,,
172,10,41,C1(C2=CC=CC=C2)=NC=CC=N1,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.85,,10.1021/acscatal.7b03648 ,,,
173,56,41,CC(C=C1)=CC=C1C2=NC=CC=N2,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.82,,10.1021/acscatal.7b03648 ,,,
174,16,41,COC(C=C1)=CC=C1C2=NC=CC=N2,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.73,,10.1021/acscatal.7b03648 ,,,
175,57,41,ClC(C=C1)=CC=C1C2=NC=CC=N2,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.67,,10.1021/acscatal.7b03648 ,,,
176,58,41,O=C(C(C=C1)=CC=C1C2=NC=CC=N2)OC,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.74,,10.1021/acscatal.7b03648 ,,,
177,7,41,N1(C2=CC=CC=C2)C=CC=N1,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.71,,10.1021/acscatal.7b03648 ,,,
178,59,41,BrC1=CN(C2=CC=CC=C2)N=C1,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.84,,10.1021/acscatal.7b03648 ,,,
179,33,41,CC1=NN(C2=CC=CC=C2)C(C)=C1,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.52,,10.1021/acscatal.7b03648 ,,,
180,60,41,CC(N1C=NC(C1=NC=N2)=C2C3=CC=CC=C3)C,BrC(C(OC)=O)CCCC,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.87,,10.1021/acscatal.7b03648 ,,,
181,10,45,C1(C2=CC=CC=C2)=NC=CC=N1,BrCC(OC)=O,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.5,,10.1021/acscatal.7b03648 ,,,
182,10,46,C1(C2=CC=CC=C2)=NC=CC=N1,BrC(CCCC)C(N1CCCCC1)=O,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.65,,10.1021/acscatal.7b03648 ,,,
183,10,47,C1(C2=CC=CC=C2)=NC=CC=N1,BrC(CCC)C(C1=CC=CC=C1)=O,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.71,,10.1021/acscatal.7b03648 ,,,
184,10,48,C1(C2=CC=CC=C2)=NC=CC=N1,BrC(C)C(N1CCOCC1)=O,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.71,,10.1021/acscatal.7b03648 ,,,
185,10,49,C1(C2=CC=CC=C2)=NC=CC=N1,O=C1CCCCC1Br,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.54,,10.1021/acscatal.7b03648 ,,,
186,10,50,C1(C2=CC=CC=C2)=NC=CC=N1,BrC(C)C(N(CC)CC)=O,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.63,,10.1021/acscatal.7b03648 ,,,
187,10,44,C1(C2=CC=CC=C2)=NC=CC=C1,BrC(CCCBr)C(OC)=O,CC1=CC=C(C(C)C)C=C1.O=C(C23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[O-].O=C(C56C[C@H]7C[C@H](C[C@H](C7)C6)C5)[O-].[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,C1COCCO1,,1,1,,0.56,,10.1021/acscatal.7b03648 ,,,
188,61,2,C1(NC2=NC=CC=N2)=CC=CC=C1,BrC(C)(C)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC1=CC=CC(C)=C1,,2,0,0,0.33,,10.1021/acscatal.7b03648 ,,,
189,62,2,ClC(C=N1)=CN=C1NC2=CC=CC=C2,BrC(C)(C)C(OCC)=O,CC1=CC=C(C(C)C)C=C1.CC2=C(C([O-])=O)C(C)=CC(C)=C2.CC3=C(C([O-])=O)C(C)=CC(C)=C3.[Ru+2],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC1=CC=CC(C)=C1,,2,0,0,0.56,,10.1021/acscatal.7b03648 ,,,
190,63,51,FC1=CC=C(NC2=NC=CC=N2)C=C1,BrC(C)(C)C,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,CC1=C(C(O)=O)C(C)=CC(C)=C1,1,1,,0.3,,10.1021/jacs.5b08435 ,,,
191,63,51,FC1=CC=C(NC2=NC=CC=N2)C=C1,BrC(C)(C)C,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,[K]OC(C)=O,1,1,,0.26,,10.1021/jacs.5b08435 ,,,
192,63,51,FC1=CC=C(NC2=NC=CC=N2)C=C1,BrC(C)(C)C,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,CC(C)(C(NC(C(C)C)C(O)=O)=O)C,1,1,,0.66,,10.1021/jacs.5b08435 ,,,
193,64,51,FC1=CC=C(NC2=CC=CC=N2)C=C1,BrC(C)(C)C,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,CC(C)(C(NC(C(C)C)C(O)=O)=O)C,1,1,,0.36,,10.1021/jacs.5b08435 ,,,
194,61,51,C1(NC2=NC=CC=N2)=CC=CC=C1,BrC(C)(C)C,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,CC(C)(C(NC(C(C)C)C(O)=O)=O)C,1,1,,0.53,,10.1021/jacs.5b08435 ,,,
195,66,51,COC1=CC=C(NC2=NC=CC=N2)C=C1,BrC(C)(C)C,CC1=CC=C(C(C)C)C=C1.CC2=CC=C(C(C)C)C=C2.[Ru+2].[Cl-].[Cl-].[Ru+2].[Cl-].[Cl-],,C1COCCO1,CC(C)(C(NC(C(C)C)C(O)=O)=O)C,1,1,,0.54,,10.1021/jacs.5b08435 ,,,
